Id,Age,Are you enrolled in a school?,Monthly Salary,Monthly Salary,More than once per week,Once a week,Once or twice per month,Once or twice per year,Never,Whenever I come across street food,Street vendors,Tiangges,Parks or Attractions,Supermarket,Mall stalls,JSEC,School,UP,How much do you usually pay for an order of streetfood type products?,Shiitake mushrooms,Caramelized onions,"Flavor powders (cheese, chili, sour cream, etc.)",How willing would you be to buy our streetfood products?,"If ever we establish a new store, how much are you willing to pay for our streetfood product?",Taste of products,Choices available,Short waiting time,Attitude of workers,Cleanliness,Affordability,,
1,19,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,3,3,3,1,2,2,3,2,,
2,20,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,3,1,0,0,2,3,3,2,3,2,2,3,,
3,20,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,1,3,6,3,2,2,2,3,2,,
4,18,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,3,0,0,1,1,5,3,1,2,2,2,2,,
5,20,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,4,2,0,2,2,3,3,,
6,19,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,4,1,0,1,2,4,3,1,2,2,3,3,,
7,19,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,2,3,3,1,2,2,3,3,,
8,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,3,1,1,2,3,2,,
9,20,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,2,3,1,3,3,2,,
10,20,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,1,3,5,3,2,0,1,2,3,,
11,21,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,2,1,1,1,2,3,3,1,2,3,3,1,,
12,19,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,1,2,2,3,3,3,2,3,3,,
13,21,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,2,3,2,2,3,3,3,,
14,19,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,3,3,3,3,1,1,2,3,,
15,18,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,1,4,3,1,3,3,3,3,,
16,20,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0,0,2,1,3,3,2,2,3,3,,
17,21,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,2,1,1,0,3,2,3,2,2,2,3,3,,
18,21,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,1,2,6,3,3,2,2,3,3,,
19,19,1,3,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,2,2,3,3,2,2,2,2,,
20,20,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,3,1,3,2,2,1,2,3,,
21,19,1,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,2,,
22,22,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,1,3,2,1,2,0,2,,
23,20,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,1,0,2,5,3,1,0,1,3,1,,
24,20,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,1,2,2,3,2,3,3,3,2,,
25,21,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,2,2,3,2,2,2,3,2,,
26,19,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,3,1,1,1,1,4,3,2,3,3,3,3,,
27,20,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,,
28,20,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,1,2,3,3,,
29,20,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2,2,3,2,2,3,3,3,,
30,18,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,9,0,0,1,1,5,3,2,3,2,3,3,,
31,20,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,5,0,0,1,1,5,3,3,2,2,3,2,,
32,21,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,2,0,1,1,1,5,3,2,2,2,3,3,,
33,19,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,4,0,1,0,2,5,2,3,2,2,2,2,,
34,19,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,6,0,1,0,1,3,3,1,3,3,3,3,,
35,21,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,3,0,0,1,1,3,3,2,2,2,3,2,,
36,20,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,3,3,3,3,3,3,,
37,18,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,3,3,2,2,3,3,,
38,18,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,1,0,2,1,3,2,1,2,1,3,,
39,32,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,3,1,1,0,2,4,2,2,2,3,3,2,,
40,21,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,2,0,1,1,2,4,3,2,2,2,3,1,,
41,18,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,9,0,0,0,0,2,3,2,3,3,3,2,,
42,20,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,2,3,2,3,3,3,3,,
43,20,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,4,3,2,2,3,3,2,,
44,19,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,2,4,3,3,2,2,3,3,,
45,19,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,4,3,2,1,3,3,3,,
46,19,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,2,2,2,2,2,2,,
47,18,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,2,2,3,3,3,2,,
48,21,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,1,1,0,2,4,3,1,2,1,2,2,,
49,20,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,3,3,2,1,2,2,3,,
50,21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,1,1,0,1,6,3,2,2,3,3,0,,
51,19,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,1,1,2,4,3,2,3,3,3,2,,
